timestamp,attack.type,request.url,request.method,request.headers.authorization,request.headers.user-agent,request.headers.x-api-tran-id,request.headers.x-api-type,request.headers.x-csrf-token,request.headers.cookie,request.headers.set_cookie,request.headers.content-type,request.headers.content-length,request.body,response.headers.x-api-tran-id,response.headers.content-type,response.body,response.status

2025-03-19T07:23:51.361Z,,http://localhost:4200/api/oauth/2.0/token,POST,,Mozilla/5.0,anya123456SWISKDQEEV62C9P,,,,,application/x-www-form-urlencoded,637,"{""tx_id"":""MD_anya123456_bond123456_ra20250003_certauth00_20250319072341_XXAB00490000"",""org_code"":""anya123456"",""grant_type"":""password"",""client_id"":""xv9gqz7mb4t2o5wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578"",""client_secret"":""m4q7xv9zb2tgc8rjy6kphudsnea0l3ow5ytkpdhqrvcfz926bt"",""ca_code"":""certauth00"",""username"":""MjU1MTM3"",""request_type"":""1"",""password_len"":""12"",""password"":""UEFTU1dPUkQ="",""auth_type"":""1"",""consent_type"":""1"",""consent_len"":""16"",""consent"":""Y29uc2VudC0wMDM="",""signed_person_info_req_len"":""20"",""signed_person_info_req"":""VGFiaXRoYUpvaG5zb24="",""consent_nonce"":""H2025292464622826940"",""ucpid_nonce"":""I2025575121706343960"",""cert_tx_id"":""20250319072341bba65c73a16c4da9b7bf801d94"",""service_id"":""bond123456190320250001""}",anya123456SWISKDQEEV62C9P,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_anya123456_bond123456_ra20250003_certauth00_20250319072341_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ4djlncXo3bWI0dDJvNXdjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OCIsImp0aSI6ImRkNDlkYWFlLWJkMTEtNGMxZi04NWQ0LWFjMTQ5YzE5MjNjNyIsImV4cCI6MTc0MjM3MjYzMSwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM2OTAzMX0.Ys7i3LgrjaNKiwVnCePAdRNPwtFeE6JExkOoNwfTr7s"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ4djlncXo3bWI0dDJvNXdjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OCIsImp0aSI6IjVkMTJhM2FiLTQ0OTktNGY3YS04MjgxLTgyMWU0N2ZmOTRkMyIsImV4cCI6MTc0MjQ1NTQzMSwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM2OTAzMX0.mAhYoCUKNuErz1TuDd2l6RFdc5QhDoa1Y-cJ0IoeXFU"",""refresh_token_expires_in"":86400}",200
2025-03-19T07:23:54.025Z,,http://localhost:4200/api/v2/bank/accounts/deposit/detail,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ4djlncXo3bWI0dDJvNXdjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OCIsImp0aSI6ImRkNDlkYWFlLWJkMTEtNGMxZi04NWQ0LWFjMTQ5YzE5MjNjNyIsImV4cCI6MTc0MjM3MjYzMSwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM2OTAzMX0.Ys7i3LgrjaNKiwVnCePAdRNPwtFeE6JExkOoNwfTr7s,Mozilla/5.0,anya123456SDBVLHLUTZWTUE0,regular,,,,application/json;charset=UTF-8,99,"{""org_code"":""bond123456"",""account_num"":""6393747277"",""next"":""0"",""search_timestamp"":""20250319072353""}",anya123456SDBVLHLUTZWTUE0,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""20250319072354"",""detail_cnt"":1,""detailList"":[{""currency_code"":""PHP"",""balance_amt"":""155269.896"",""withdrawable_amt"":""152617.847"",""offered_rate"":""0.034"",""last_paid_in_cnt"":6}]}",200
2025-03-19T07:24:13.754Z,XSS,http://localhost:4200/api/oauth/2.0/token,POST,,Mozilla/5.0,anya123456SF6MBWF8KEOKZWE,,,,"<img src=""x"" onerror=""alert('XSS')"">",application/x-www-form-urlencoded,633,"{""tx_id"":""MD_anya123456_bond123456_ra20250002_certauth00_20250319072404_XXAB00490000"",""org_code"":""anya123456"",""grant_type"":""password"",""client_id"":""xv9gqz7mb4t2o5wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578"",""client_secret"":""m4q7xv9zb2tgc8rjy6kphudsnea0l3ow5ytkpdhqrvcfz926bt"",""ca_code"":""certauth00"",""username"":""MTg5ODMy"",""request_type"":""1"",""password_len"":""12"",""password"":""UEFTU1dPUkQ="",""auth_type"":""1"",""consent_type"":""1"",""consent_len"":""16"",""consent"":""Y29uc2VudC0wMDE="",""signed_person_info_req_len"":""16"",""signed_person_info_req"":""S2VpdGhIYW1pbGw="",""consent_nonce"":""C2025722952672601719"",""ucpid_nonce"":""I2025102217732962923"",""cert_tx_id"":""202503190724049f319f57d5404feea8c4279bdf"",""service_id"":""bond123456190320250001""}",anya123456SF6MBWF8KEOKZWE,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_anya123456_bond123456_ra20250002_certauth00_20250319072404_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ4djlncXo3bWI0dDJvNXdjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OCIsImp0aSI6IjYzYTNjNzAxLWM1Y2QtNGRhNy1iYWVlLTM4MWU4YmY4MzYzOCIsImV4cCI6MTc0MjM3MjY1Mywic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM2OTA1M30.gtG9j5i5qBsIuzNZzRUwDbx3Dfc7SrcARfZMjv2cxOc"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ4djlncXo3bWI0dDJvNXdjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OCIsImp0aSI6ImIyZWE3NGEyLTUxZDUtNDI5YS1iMWI2LWM0ZDM5MzViNDlmNSIsImV4cCI6MTc0MjQ1NTQ1Mywic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM2OTA1M30.3e_Cmk3vtugUUeuEnJhhKDUuzS7eSrBufvRPu4HyPG4"",""refresh_token_expires_in"":86400}",200
2025-03-19T07:24:15.936Z,,http://localhost:4200/api/v2/bank/accounts/deposit/detail,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ4djlncXo3bWI0dDJvNXdjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OCIsImp0aSI6IjYzYTNjNzAxLWM1Y2QtNGRhNy1iYWVlLTM4MWU4YmY4MzYzOCIsImV4cCI6MTc0MjM3MjY1Mywic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM2OTA1M30.gtG9j5i5qBsIuzNZzRUwDbx3Dfc7SrcARfZMjv2cxOc,Mozilla/5.0,anya123456SATTEOBEPKHMT12,irregular,,,,application/json;charset=UTF-8,99,"{""org_code"":""bond123456"",""account_num"":""3352977743"",""next"":""0"",""search_timestamp"":""20250319072415""}",anya123456SATTEOBEPKHMT12,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""20250319072415"",""detail_cnt"":1,""detailList"":[{""currency_code"":""USD"",""balance_amt"":""573315.422"",""withdrawable_amt"":""573011.3370000001"",""offered_rate"":""0.036"",""last_paid_in_cnt"":2}]}",200
2025-03-19T07:24:31.110Z,CookieInjection,http://localhost:4200/api/oauth/2.0/token,POST,,Mozilla/5.0,anya123456S15VMQ9JOOGXHGL,,,,session=admin123; Path=/,application/x-www-form-urlencoded,643,"{""tx_id"":""MD_anya123456_bond123456_ra20250003_certauth00_20250319072422_XXAB00490000"",""org_code"":""anya123456"",""grant_type"":""password"",""client_id"":""xv9gqz7mb4t2o5wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578"",""client_secret"":""m4q7xv9zb2tgc8rjy6kphudsnea0l3ow5ytkpdhqrvcfz926bt"",""ca_code"":""certauth00"",""username"":""MDUyMDU4"",""request_type"":""1"",""password_len"":""12"",""password"":""UEFTU1dPUkQ="",""auth_type"":""1"",""consent_type"":""1"",""consent_len"":""16"",""consent"":""Y29uc2VudC0wMDI="",""signed_person_info_req_len"":""24"",""signed_person_info_req"":""Q2hyaXN0U3dhbmlhd3NraQ=="",""consent_nonce"":""D2025269564195938415"",""ucpid_nonce"":""T2025244880625001967"",""cert_tx_id"":""2025031907242260ed54fa9aba47a5a6d39b7500"",""service_id"":""bond123456190320250001""}",anya123456S15VMQ9JOOGXHGL,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_anya123456_bond123456_ra20250003_certauth00_20250319072422_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ4djlncXo3bWI0dDJvNXdjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OCIsImp0aSI6IjZjMmQ2MjZlLTAxZDctNDE5Yy04M2ZkLThmOWE1ODI0ZDBlMSIsImV4cCI6MTc0MjM3MjY3MSwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM2OTA3MX0.XPO1-xBxURomcaOmFlZ96dp5VEI9pwrCQNwpVMPy-RQ"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ4djlncXo3bWI0dDJvNXdjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OCIsImp0aSI6ImVmOWE3MTk5LWY4OGYtNDk5Yi1hNmFhLTBlMmU1Njc5MmJiMCIsImV4cCI6MTc0MjQ1NTQ3MSwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM2OTA3MX0.3PafhIWmabT3GGKFbYfisjpHmLcrOSRTegnG3ibsThI"",""refresh_token_expires_in"":86400}",200
2025-03-19T07:24:33.409Z,,http://localhost:4200/api/v2/bank/accounts/deposit/basic,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ4djlncXo3bWI0dDJvNXdjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OCIsImp0aSI6IjZjMmQ2MjZlLTAxZDctNDE5Yy04M2ZkLThmOWE1ODI0ZDBlMSIsImV4cCI6MTc0MjM3MjY3MSwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM2OTA3MX0.XPO1-xBxURomcaOmFlZ96dp5VEI9pwrCQNwpVMPy-RQ,Mozilla/5.0,anya123456S841JGOJAPWZOMQ,irregular,,,,application/json;charset=UTF-8,99,"{""org_code"":""bond123456"",""account_num"":""2733322567"",""next"":""0"",""search_timestamp"":""20250319072433""}",anya123456S841JGOJAPWZOMQ,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""20250319072433"",""basic_cnt"":1,""basicList"":[{""currency_code"":""PHP"",""saving_method"":""METHOD_03"",""issue_date"":""2024-03-15T05:40:36.030Z"",""exp_date"":""2025-12-17T23:56:36.316Z"",""commit_amt"":""217896.637"",""monthly_paid_in_amt"":""914.115""}]}",200
2025-03-19T07:24:35.565Z,,http://localhost:4200/api/v2/bank/accounts/deposit/detail,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ4djlncXo3bWI0dDJvNXdjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OCIsImp0aSI6IjZjMmQ2MjZlLTAxZDctNDE5Yy04M2ZkLThmOWE1ODI0ZDBlMSIsImV4cCI6MTc0MjM3MjY3MSwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM2OTA3MX0.XPO1-xBxURomcaOmFlZ96dp5VEI9pwrCQNwpVMPy-RQ,Mozilla/5.0,anya123456SESGKVPB3QPERQN,regular,,,,application/json;charset=UTF-8,99,"{""org_code"":""bond123456"",""account_num"":""2733322567"",""next"":""0"",""search_timestamp"":""20250319072435""}",anya123456SESGKVPB3QPERQN,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""20250319072435"",""detail_cnt"":1,""detailList"":[{""currency_code"":""PHP"",""balance_amt"":""128043.814"",""withdrawable_amt"":""126183.188"",""offered_rate"":""0.02"",""last_paid_in_cnt"":0}]}",200
2025-03-19T07:24:50.921Z,DirectoryTraversal,http://localhost:4200/api/oauth/2.0/token,POST,,Mozilla/5.0,../../../../etc/hosts,,,,,application/x-www-form-urlencoded,627,"{""tx_id"":""MD_anya123456_bond123456_ra20250001_certauth00_20250319072442_XXAB00490000"",""org_code"":""anya123456"",""grant_type"":""password"",""client_id"":""xv9gqz7mb4t2o5wcf8rjy6kphudsnea0l3ytkpdhqrvcxz1578"",""client_secret"":""m4q7xv9zb2tgc8rjy6kphudsnea0l3ow5ytkpdhqrvcfz926bt"",""ca_code"":""certauth00"",""username"":""NjIyMjI5"",""request_type"":""1"",""password_len"":""12"",""password"":""UEFTU1dPUkQ="",""auth_type"":""1"",""consent_type"":""1"",""consent_len"":""16"",""consent"":""Y29uc2VudC0wMDI="",""signed_person_info_req_len"":""12"",""signed_person_info_req"":""SGFpbGVlVG95"",""consent_nonce"":""G2025123526401797318"",""ucpid_nonce"":""V2025670213996614567"",""cert_tx_id"":""202503190724427d0df26fb1f34344afc5c2f403"",""service_id"":""bond123456190320250001""}",../../../../etc/hosts,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""tx_id"":""MD_anya123456_bond123456_ra20250001_certauth00_20250319072442_XXAB00490000"",""token_type"":""Bearer"",""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ4djlncXo3bWI0dDJvNXdjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OCIsImp0aSI6Ijc5OTA1MmU4LThkNzMtNDI2ZS04YWI2LWFjMWNjYjY2OTIwMCIsImV4cCI6MTc0MjM3MjY5MCwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM2OTA5MH0.83-iyWE7mwj0phvNI45NZNd5Nz5StZuTmS1sTnFGiQo"",""expires_in"":3600,""refresh_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ4djlncXo3bWI0dDJvNXdjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OCIsImp0aSI6ImJiZTkxZWMyLTE5MWItNDVkOS1iNmI4LTIzMTVmOTAyYzcxZCIsImV4cCI6MTc0MjQ1NTQ5MCwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM2OTA5MH0.XEfd8g_XsP-bbBPCTd5_2IqLA_5gyPbQG0H-TZOscwY"",""refresh_token_expires_in"":86400}",200
2025-03-19T07:24:53.093Z,,http://localhost:4200/api/v2/bank/accounts/deposit/detail,POST,Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdWQiOiJ4djlncXo3bWI0dDJvNXdjZjhyank2a3BodWRzbmVhMGwzeXRrcGRocXJ2Y3h6MTU3OCIsImp0aSI6Ijc5OTA1MmU4LThkNzMtNDI2ZS04YWI2LWFjMWNjYjY2OTIwMCIsImV4cCI6MTc0MjM3MjY5MCwic2NvcGUiOiJpcCIsImlhdCI6MTc0MjM2OTA5MH0.83-iyWE7mwj0phvNI45NZNd5Nz5StZuTmS1sTnFGiQo,Mozilla/5.0,anya123456SCTESV1X6658TYH,irregular,,,,application/json;charset=UTF-8,99,"{""org_code"":""bond123456"",""account_num"":""3561363973"",""next"":""0"",""search_timestamp"":""20250319072453""}",anya123456SCTESV1X6658TYH,application/json;charset=UTF-8,"{""rsp_code"":""0000"",""rsp_msg"":""Success"",""search_timestamp"":""20250319072453"",""detail_cnt"":1,""detailList"":[{""currency_code"":""KRW"",""balance_amt"":""11120.777"",""withdrawable_amt"":""8439.187"",""offered_rate"":""0.022"",""last_paid_in_cnt"":3}]}",200
